id,title,ruby,key,lang,artist,mod,remarks
77,風になる,,C,日语,,,
78,君がいれば,,C,日语,,,
79,きみのこえ,,C,日语,川嶋愛,,
80,君へ,,C,日语,ZAQ,,《中二病也要谈恋爱！Lite》OP
81,桜の樹の下,,C,日语,KOKIA,,
82,さんぽ,,C,日语,,,《龙猫》OP
83,切羽,せっぱ,C,纯音乐,,,
84,太陽曰く燃えよカオス,,C,日语,,C→D#→C,
85,ドーナツハウスのミス・ライアン,,C,日语,,,
86,めざせポケモンマスター,,C,日语,,C→A,
87,夕顔,ゆうがお,C,日语,能登麻美子,,
88,床下の我が家,ゆかしたのわがや,C,日语,,,
89,ライオン,,C,日语,,C→G,
90,귀요미송,,C,韩语,,,
91,Doki Doki Literature Club!,,C,纯音乐,,,
92,here comes the sweater weather,,C,纯音乐,,,
93,Here We Are Again,,C,纯音乐,,,《喜剧之王》BGM
94,Kotori Samba,,C,纯音乐,,,
95,La valse d'Amélie,,C,纯音乐,,,《天使爱美丽》BGM
96,Moonglow,,C,纯音乐,Bandari,,
97,One day in spring,,C,纯音乐,Bandari,,
98,Peace of Mind,,C,纯音乐,,C→F,
99,ROBOTICS;NOTES,,C,纯音乐,,,
100,Säkkijärven polkka,,C,纯音乐,,,
101,欢沁,,C,纯音乐,,,
102,眉间心上,,C,纯音乐,,,
103,踏歌行,,C,纯音乐,,,
104,雪暖晴岚,,C,纯音乐,,,
105,榣山遗韵,,C,纯音乐,,,
106,玉满堂,,C,纯音乐,,,
107,玉水明沙,,C,纯音乐,,,
108,渔樵唱晚,,C,纯音乐,,,
109,あの夏へ,,C,纯音乐,,C→D#,
110,与神ひよ,あたえかみひよ,C,纯音乐,,,
111,一途な心,いちずのこころ,C,纯音乐,,,
112,籠のなか,かごのなか,C,纯音乐,,,《蟲師》BGM
113,軌跡,きせき,C,纯音乐,ふみこみどり,,
114,五月の村,ごがつのむら,C,纯音乐,,,《龙猫》BGM
115,久遠寺有珠,くおんじありす,C,纯音乐,,,
116,腐り姫の伝説,くさりひめのでんせつ,C,纯音乐,,,
117,潮鳴り,しおなり,C,纯音乐,,,
118,静希草十郎,しずきそうじゅうろう,C,纯音乐,,,
119,だが待て、しばし,,C,纯音乐,,,
120,ナルトの日常,,C,纯音乐,,,
121,変態乳牛,へんたいにゅうぎゅう,C,纯音乐,,,
122,宵祭りの風,よいまつりのかぜ,C,纯音乐,,C→(D#),
123,蘭のテーマ,,C,纯音乐,,,
124,常回家看看,,C#,国语,陈红,C#→D,
125,匆匆那年,,C#,国语,王菲,,
126,大地飞歌,,C#,国语,宋祖英,,
127,蝶恋花,,C#,国语,牛奶咖啡,,
128,东西,,C#,国语,张靓颖,,
129,儿歌,,C#,国语,张悬,,
130,刚好遇见你,,C#,国语,李玉刚,,
131,滚滚长江东逝水,,C#,国语,杨洪基,,
132,过火,,C#,国语,张信哲,,
133,海尔兄弟,,C#,国语,,,
134,好听,,C#,国语,许茹芸,,
135,睫毛弯弯,,C#,国语,王心凌,C#→D#,
136,久别的人,,C#,国语,白雪,,
137,快点告诉你,,C#,国语,蓝沁,,《动画城》主题曲
138,里面外面,,C#,国语,范晓萱,,
139,情浓情淡,,C#,国语,杨迎,,
140,清明雨上,,C#,国语,许嵩,,
141,认真的雪,,C#,国语,薛之谦,,
142,日不落,,C#,国语,蔡依林,,
143,伤心雨,,C#,国语,王子鸣,,
144,绅士,,C#,国语,薛之谦,,
145,我们的歌,,C#,国语,王力宏,,
146,幸福万年长,,C#,国语,汤灿,,
147,隐形的翅膀,,C#,国语,张韶涵,,
148,雨蝶,,C#,国语,李翊君,,
149,月光,,C#,国语,王心凌,,
150,月亮代表我的心,,C#,国语,邓丽君,,
151,致自己,,C#,国语,齐一,,
152,最炫民族风,,C#,国语,凤凰传奇,C#→E,
153,万水千山总是情,,C#,国语,汪明荃,,
154,宁夏,,C#,国语,梁静茹,C#→E,
155,Answer,,C#,外语,,,
156,Checkmate!?,,C#,日语,,C#→F,《粗点心战争》OP
157,Cinderella Syndrome,,C#,外语,YUC’e,,
158,Everybody,,C#,外语,,,
159,Poker Face,,C#,外语,堀江由衣,,《黑白小姐》ED
160,Sweet Home \~僕の帰る場所\~,,C#,日语,,,
161,Trouble Maker,,C#,外语,,,
162,つまんない恋,,C#,日语,,,
163,ナガレボシ,,C#,日语,,,《夜樱四重奏》ED
164,A Rainy Morning ~Main Title~,,C#,纯音乐,,,
165,China-X,,C#,纯音乐,,,
166,Five,,C#,纯音乐,,,《魔法使之夜》BGM
167,K's Theme,,C#,纯音乐,,,
168,Luv Letter,,C#,纯音乐,,,
169,You,,C#,纯音乐,,,
170,仗剑,,C#,纯音乐,,C#→G#,
171,蒼崎青子,あおざきあおこ,C#,纯音乐,,,
172,彩月-Saigetsu-,,C#,纯音乐,,,
173,夏の大三角,なつのだいさんかく,C#,纯音乐,,,
174,K歌之王,,D,国语,陈奕迅,,
175,Lydia,,D,国语,FIR,D→F→D,
176,Super Star,,D,国语,S.H.E,,
177,爱的魔法,,D,国语,金莎,,
178,爱情三十六计,,D,国语,蔡依林,,
179,爱要怎么说出口,,D,国语,赵传,,
180,北国之春,,D,国语,蒋大为,,
181,北京欢迎你,,D,国语,,,
182,长相依,,D#,国语,刘丽丽,,
183,成都,,D,国语,赵磊,,
184,迟来的爱,,D,国语,李茂山,,
185,等待,,D,国语,韩磊,,我为什么还在等待
186,风吹麦浪,,D,国语,孙俪&李健,D→A,
187,橄榄树,,D,国语,齐豫,,
188,干杯，朋友,,D,国语,田震,,
189,关不上的窗,,D,国语,周传雄,,
190,借口,,D,国语,周杰伦,,
191,矜持,,D,国语,姚贝娜,,
192,快乐的歌,,D,国语,谢娜,,
193,快乐老家,,D,国语,陈明,,
194,兰亭序,,D,国语,周杰伦,,
195,泪海,,D,国语,许茹芸,D→D#,
196,龙卷风,,D,国语,邓紫棋,,
197,美梦成真,,D,国语,许茹芸,,
198,梦里水乡,,D,国语,江珊,,
199,母亲是中华,,D,国语,,,
200,你知道我在等你吗,,D,国语,迪克牛仔,D→D#,
201,怒放的生命,,D,国语,汪峰,,
202,漂洋过海来看你,,D,国语,娃娃,,
203,千里之外,,D,国语,周杰伦&费玉清,D→D#,
204,取经归来,,D,国语,蒋大为,,
205,让我欢喜让我忧,,D,国语,周华健,,
206,如果这都不算爱,,D,国语,张学友,,
207,思念,,D,国语,毛阿敏,,你从哪里来
208,离魂,,D,纯音乐,,,
209,十二美人图,,D,国语,秦岚,D→D#,
210,思念是一种病,,D,国语,张震岳&蔡健雅,,
211,踏浪,,D,国语,徐怀钰,,
212,桃红,,D,国语,陈红,,又是一季春来早
213,天地在我心,,D,国语,刘欢,,
214,甜蜜蜜,,D,国语,邓丽君,,
215,同一首歌,,D,国语,毛阿敏,,
216,同桌的你,,D,国语,老狼,,
217,头号粉丝,,D,国语,莫文蔚,,
218,我绝对不说我爱你,,D,国语,许茹芸,,
219,我用自己的方式爱你,,D,国语,陈明真,,
220,无言的结局,,D,国语,李茂山&林淑容,,
221,想你的三百六十五天,,D,国语,李玟,,
222,小情歌,,D,国语,苏打绿,,
223,心愿,,D,国语,四个女生,,
224,心雨,,D,国语,杨钰莹&毛宁,,
225,星月神话,,D,国语,金莎,,
226,一千年以后,,D,国语,林俊杰,D→E,
227,因为爱,,D,国语,陶喆,,
228,樱花草,,D,国语,Sweety,D→(F),
229,又见炊烟,,D,国语,邓丽君,,
230,小桃红,,D,国语,陈红,,又是一季春来早
231,月牙湾,,D,国语,FIR,,
232,在一起,,D,国语,羽·泉,,
233,怎样,,D,国语,戴佩妮,,
234,贞观长歌,,D,国语,张澜澜,,
235,真的好想你,,D,国语,周冰倩,,
236,征服,,D,国语,那英,,
237,祝你平安,,D,国语,孙悦,,
238,走进新时代,,D,国语,张也,,
239,走了这么久你变了没有,,D,国语,韩磊&刘婕,,
240,最美的期待,,D,国语,周笔畅,,
241,Best Day Of My Life,,D,外语,,,
242,Dive With Me,,D,外语,,,
243,Forza Gesù,,D,外语,,D→E,《加油耶稣》
244,FOOTPRINTS IN THE SAND,,D,日语,ピクセルビー,,
245,Kung Fu Fighting,,D,外语,,,
246,hectopascal,,D,日语,,,《终将成为你》ED
247,Hotel California,,D,外语,Eagles,,
248,Inside Identity,,D,日语,,D→D#,
249,It's My Life,,D,外语,Bon Jovi,,
250,Let Me Be With You,,D,外语,ROUND TABLE,,《人型电脑天使心》OP
251,Love Is All,,D,外语,Vann Johnson,,
252,magnet,,D,日语,初音ミク,,
253,Moves Like Jagger,,D,外语,Maroon 5,,
254,My Kind,,D,英语,Hilary Duff,,
255,"My Soul,Your Beats!",,D,日语,,,《Angel Beats!》OP
256,Nothing's Gonna Change My Love,,D,英语,Westlife,D→D#,
257,One Way Or Another,,D,英语,Blondie,,
258,Real Force,,D,日语,ELISA,,
259,Resuscitated Hope,,D,外语,,D→E,《GOSICK》ED
260,Sincerely,,D,日语,TRUE,D→F,《紫罗兰永恒花园》OP
261,Sofía,,D,外语,Alvaro Soler,,
262,SOUND OF DESTINY,,D,日语,水樹奈々,,
263,Sound of Silence,,D,英语,Simon & Garfunkel,,
264,Sugar,,D,英语,Maroon 5,,
265,Time after time～花舞う街で～,,D,日语,倉木麻衣,D→(G→A#)→D,
266,Time To Say Goodbye,,D,外语,,,
267,The Day You Went Away,,D,外语,M2M,,
268,Try,,D,外语,P!nk,,
269,Violet Snow,,D,英语,結城アイラ,,
270,美しきもの,,D,日语,,D→F→E→A,
271,変わり行く世界の為に,,D,日语,,,
272,歌舞伎町の女王,かぶきまちのじょおう,D,日语,椎名林檎,,
273,かくしん的☆めたまるふぉ～ぜっ!,,D,日语,,,《干物妹小埋》OP
274,君さえいなけりゃ,,D,日语,,D→D#,
275,原風景,げんふうけい,D,日语,まももP,,
276,ケセラセラ,,D,日语,,,
277,この世界の片隅で,,D,日语,,,
278,ずっとBe with you,,D,日语,阿澄佳奈,,《潜行吧！奈亚子》ED
279,旅立ちの日に…,,D,日语,川嶋愛,,
280,鳥の詩,,D,日语,Lia,D→B→C#→(E)→D,
281,ドラえもんのうた,,D,日语,,,
282,春擬き,はるもどき,D,日语,やなぎなぎ,,
283,光の季節,,D,日语,Suara,,
284,ふたりのきもちのほんとのひみつ,,D,日语,,,
285,まどろみの約束,,D,日语,,F→D,"从转调的副歌部分（D）开始
《冰果》ED"
286,夕日坂,ゆうひさか,D,日语,,,
287,소녀시대,,D,外语,少女时代,,《少女时代》
288,ラブレター,,D,日语,YOASOBI,D→G→G#,
289,After All ～綴る想い～ (Instrumental),,D,纯音乐,,,
290,Dear Childhood friend,,D,纯音乐,,D→E,
291,Lengsel - Eternal Mind -,,D,纯音乐,,,
292,RETURN PATH,,D,纯音乐,,,
293,Summer,,D,纯音乐,,,
294,Theme -ダメな私に恋してください-,,D,纯音乐,,,
295,With An Orchid,,D,纯音乐,,,
296,WORKING!!,,D,纯音乐,,,《魔法使之夜》BGM
297,おかえりなさいませ!アーサー様,,D,纯音乐,,D→G,
298,曇りのち晴れ,くもりのちはれ,D,纯音乐,,,
299,東風,こち,D,纯音乐,,,
300,対決のテーマ,,D,纯音乐,,,
301,爱啦啦,,D#,国语,海楠,,
302,把悲伤留给自己,,D,国语,陈升,,
303,百姓的事儿牵着走,,D#,国语,戴娆,,
304,北京北京,,D#,国语,汪峰,,
305,布拉格广场,,D#,国语,蔡依林&周杰伦,,
306,曾经心痛,,D#,国语,叶倩文,,
307,长相依,,D#,国语,刘丽丽,,
308,超有感,,D#,国语,黄鸿升,,
309,二十年后再相会,,F,国语,殷秀梅&戴玉强,,
310,恭喜发财,,D#,国语,卓依婷,,
311,故乡的云,,D#,国语,费翔,,
312,好一朵茉莉花,,D#,国语,宋祖英,,好一朵茉莉花
313,红旗飘飘,,D#,国语,孙楠,,
314,后来,,D#,国语,刘若英,,
315,呼唤,,D#,国语,汤灿,,《大长今》主题曲
316,糊涂的爱,,D#,国语,王志文&江珊,,
317,欢天喜地,,D#,国语,韩旭,,
318,回忆的阁楼,,D#,国语,郭静,,
319,寂寞让我如此美丽,,D#,国语,陈明,D#→F→G#→F,
320,酒醉的探戈,,D#,国语,邓丽君,,
321,蓝莲花,,D#,国语,许巍,,
322,楼兰姑娘,,D#,国语,俞静,,
323,绿光,,D#,国语,孙燕姿,,
324,难以抗拒你容颜,,D#,国语,张信哲,,
325,女人花,,D#,国语,梅艳芳,,
326,诺言,,D#,国语,毛阿敏,,
327,七里香,,D#,国语,周杰伦,,
328,起风了,,D#,国语,吴青峰,,
329,轻轻的告诉你,,D#,国语,杨钰莹,,
330,让她降落,,D#,国语,何璐,,
331,让我们荡起双桨,,D#,国语,,,
332,弱水三千,,D#,国语,周传雄,,
333,纤夫的爱,,D#,国语,尹相杰&于文华,,
334,三百六十五个祝福,,D#,国语,蔡国庆,D#→E,
335,天路,,D#,国语,韩红,,
336,铁齿铜牙纪晓岚,,D#,国语,戴娆,,《铁齿铜牙纪晓岚》ED
337,通天大道宽又阔,,D#,国语,三叶草合唱组,,
338,突然想起你,,D#,国语,萧亚轩,,
339,为你,,D#,国语,陈明,,
340,稳稳的幸福,,D#,国语,陈奕迅,,
341,我不想说,,D#,国语,杨钰莹,,
342,我的梦,,D#,国语,张靓颖,,
343,我像雪花天上来,,D#,国语,阎维文,,
344,希望,,D#,国语,陈慧琳,,《大长今》ED
345,想说爱你不容易,,D#,国语,王志文,,
346,新贵妃醉酒,,D#,国语,李玉刚,,
347,羞答答的玫瑰静悄悄地开,,D#,国语,孟庭苇,,
348,雪花,,D#,国语,凯璐凯玥,,
349,亚洲雄风,,D#,国语,韦唯&刘欢,D#→A#,
350,要嫁就嫁灰太狼,,D#,国语,周艳泓,,
351,远方的客人请你留下来,,D#,国语,宋祖英,,
352,一万个理由,,D#,国语,郑源,,
353,永远永远,,D#,国语,李翊君,D#→E,《风云-雄霸天下》ED
354,再遇见,,D#,国语,苏打绿,,
355,在梦中,,D#,国语,彭丽丽,,
356,知道不知道,,D#,国语,刘若英,D#→G#,
357,走过咖啡屋,,D#,国语,千百惠,,
358,After All ～綴る想い～,,D#,日语,上原れな,,
359,Apologize,,D#,英语,OneRepublic,,
360,Demons,,D#,英语,Imagine Dragons,,
361,Dream It Possible,,D#,英语,Delacey,,华为手机铃声
362,Long Lost Penpal,,D#,英语,,,
363,Million of Bravery,,D#,英语,,,《扩散性百万亚瑟王》主题曲
364,My All,,D#,英语,浜崎あゆみ,,
365,My Sweet Shelter,,D#,英语,,,《我们大家的河合庄》ED
366,Nevada,,D#,英语,,,
367,Rage Your Dream,,D#,外语,,,《头文字D》ED
368,reunion,,D#,日语,ClariS,,
369,Rolling In The Deep,,D#,外语,Adele,,
370,Scarborough Fair,,D#,外语,Hayley Westenra,,
371,Trouble Is A Friend,,D#,外语,Lenka,,
372,Weight of the World/壊レタ世界ノ歌,,D#,日语,河野マリナ,,
373,You're Beautiful,,D#,外语,James Blunt,,
374,You Should Get Over Me,,D#,外语,Jessica Wolff,,
375,ウラオモテ・フォーチュン,,D#,日语,,,《月刊少女野崎君》ED
376,おジャ魔女カーニバル!!,,D#,日语,,,
377,君にふれて,,D#,日语,安月名莉子,,《终将成为你》OP
378,コネクト,,D#,日语,ClariS,F→F#→D#→F#,以 F 调副歌开始
379,残酷な天使のテーゼ,,D#,日语,高橋洋子,,
380,ハレ晴レユカイ,,D#,日语,平野綾,,
381,瞳をとじて,,D#,日语,平井堅,,
382,回レ! 雪月花,,D#,日语,,,
383,ロマンティックあげるよ,,D#,日语,,,
384,夜に駆ける,,D#,日语,YOASOBI,D#→D→F,
385,もう少しだけ,,D#,日语,YOASOBI,D#→E,
386,Cocoon,,D#,纯音乐,,,
387,Ephemeral Entity,,D#,纯音乐,,D#→E→F#,
388,hometown,,D#,纯音乐,まももP,,
389,The Magnificent Seven,,D#,纯音乐,,,
390,运动员进行曲,,D#,纯音乐,,,
391,殻ノ少女,からのしょうじょ,D#,纯音乐,,,
392,恋におちたら image version,,D#,纯音乐,,,
393,風のとおり道,,D#,纯音乐,,,
394,夏影,なつかげ,D#,纯音乐,,,
395,ほどほどの栄光あれ,,D#,纯音乐,,,
396,Happy Baby,,E,国语,青春美少女,,
397,阿里山的姑娘,,E,国语,李娜,,
398,爱如空气,,E,国语,孙俪,,
399,爱如潮水,,E,国语,张信哲,,
400,爱我中华,,E,国语,宋祖英,,
401,北极雪,,E,国语,周传雄&陈慧琳,,
402,冰菊物语,,E,国语,李宇春,E→G,
403,曾经的你,,E,国语,许巍,,
404,传奇,,E,国语,王菲,,
405,扯,,E,国语,周杰伦,,
406,春风十里,,E,国语,鹿先森乐队,,
407,春天里,,E,国语,汪峰,,
408,单身情歌,,E,国语,林志炫,E→F,
409,董小姐,,E,国语,宋东野,,
410,父亲,,E,国语,筷子兄弟,,
411,光辉岁月,,E,国语,BEYOND,,
412,画心,,E,国语,张靓颖,,
413,家园,,E,国语,刘欢&宋祖英,E→G→A,《闯关东》ED
414,可爱的一朵玫瑰花,,E,国语,吕继宏,,
415,恋曲1990,,E,国语,罗大佑,,
416,美丽的姑娘,,E,国语,蒋大为,,
417,明明白白我的心,,E,国语,陈淑桦&成龙,,
418,茉莉花,,E,国语,宋祖英,,好一朵美丽的茉莉花
419,那个女孩,,E,国语,陶喆&卢广仲,,
420,你走你的路,,E,国语,江淑娜&何继民,,
421,漂浮地铁,,E,国语,李宇春,,
422,牵挂你的人是我,,E,国语,高林生,,
423,青藏高原,,E,国语,韩红,,
424,清风徐来,,E,国语,王菲,,
425,生生世世爱,,E,国语,吴雨霏,,
426,实心汉子,,E,国语,韩磊,,
427,水中花,,E,国语,谭咏麟,,
428,桃花朵朵开,,E,国语,阿牛,,
429,透过开满鲜花的月亮,,E,国语,林依轮,,
430,突然想爱你,,E,国语,许茹芸,E→F#,
431,晚霞中的红蜻蜓,,E,国语,杨钰莹,,
432,我怀念的,,E,国语,孙燕姿,,
433,我只在乎你,,E,国语,邓丽君,,
434,我悄悄地蒙上你的眼睛,,E,国语,毛宁&杨钰莹,,
435,舞娘,,E,国语,蔡依林,,
436,夕阳红,,E,国语,佟铁鑫,,
437,像风一样自由,,E,国语,许巍,,
438,想你的夜,,E,国语,关喆,,
439,鞋子特大号,,E,国语,周杰伦,,
440,样样红,,E,国语,黄安,,
441,一场雨落下来要用多久,,E,国语,鹿先森乐队,,
442,一个师傅仨徒弟,,E,国语,,,
443,一个像夏天一个像秋天,,E,国语,范玮琪,E→F,
444,永远的奥特曼,,E,国语,line,,《迪迦奥特曼》中文结尾曲
445,有点甜,,E,国语,汪苏泷,,
446,月,,E,国语,好妹妹,,
447,约定,,E,国语,周蕙,,
448,在那东山顶上,,E,国语,谭晶,,
449,至少还有你,,E,国语,林忆莲,,
450,终于等到你,,E,国语,张靓颖,,
451,追梦人,,E,国语,凤飞飞,,
452,走四方,,E,国语,韩磊,,
453,遗憾,,E,国语,许美静,,
454,adrenaline!!!,,E,日语,TrySail,E→G,
455,Barbie Girl,,E,外语,Aqua,,
456,BEAUTIFUL DAYS,,E,日语,,,
457,Butter-Fly,,E,日语,和田光司,,
458,Can't Wait,,E,外语,,E→G,
459,Counting Stars,,E,外语,OneRepublic,,
460,Die Young,,E,外语,Kesha,,
461,Fly Away,,E,外语,TheFatRat,,
462,Gee,,E,外语,少女时代,,
463,Hello Mr.my yesterday,,E,日语,Hundred Percent Free,,
464,I Just Wanna Run,,E,外语,,,
465,I wish,,E,日语,前田愛,,《数码宝贝》ED
466,irony,,E,日语,ClariS,,《我的妹妹哪有这么可爱》OP
467,Letting Go,,E,外语,Jo De La Rosa,,
468,Innocence,,E,日语,藍井エイル,,《刀剑神域》OP
469,Messy Girl,,E,外语,Morri3on,,
470,MR.RAINDROP,,E,英语,,,
471,My Heart Will Go On,,E,外语,,,
472,PLANET,,E,日语,ラムジ,,
473,PONPONPON,,E,日语,竹村桐子,,
474,Secret,,E,日语,茶太,,
475,Shiny tale,,E,外语,,,《男子高中生的日常》OP
476,STYX HELIX,,E,外语,,,《Re:从零开始异世界生活》ED
477,Tell the World,,E,外语,Eric Hutchinson,,
478,The One That Got Away,,E,外语,Katy Perry,,
479,ultra soul,,E,日语,B’z,,
480,UNDER THE BLUE SKY,,E,外语,,,
481,We Don't Talk Anymore,,E,外语,,,
482,What Makes You Beautiful,,E,外语,,,
483,思い出は億千万,,E,日语,,,
484,歌に形はないけれど,,E,日语,花たん,E→F#,
485,おちゃめ機能,,E,日语,初音ミク,,
486,可愛くなりたい,,E,日语,雨宫天,E→F,
487,恋は渾沌の隷也,こいはこんとんのしもべなり,E,日语,,,《潜行吧！奈亚子》OP
488,届かない恋,,E,日语,米澤円,,
489,同窓会,どうそうかい,E,日语,,,
490,白金ディスコ,,E,日语,井口裕香,E→F#,
491,ハナミズキ,,E,日语,,,
492,二言目,,E,日语,,,
493,冒険でしょでしょ？,,E,日语,平野綾,,
494,僕らは今のなかで,,E,日语,,,
495,恋愛サーキュレーション,,E,日语,花澤香菜,,
496,リライト,,E,日语,,,《钢之炼金术师》OP
497,Fly Away,,E,纯音乐,TheFatRat,,
498,Like a dog,,E,纯音乐,,,
499,Monody,,E,纯音乐,TheFatRat,,
500,The Legend,,E,纯音乐,,,
501,雏菊,,E,纯音乐,,,《雏菊》主题曲
502,想いの寄り方は不均一,,E,纯音乐,,,
503,風の少年,,E,纯音乐,,,
504,きっとまたいつか (Album Version),,E,纯音乐,,,
505,阿拉木汗,,F,国语,殷秀梅&戴玉强,,
506,爱情转移,,F,国语,陈奕迅,,
507,爱 因为在心中,,F,国语,王力宏,F→C,
508,爱的主打歌,,F,国语,萧亚轩,,
509,暗香,,F,国语,沙宝亮,,
510,敖包相会,,F,国语,蒋大为,,
511,草原之夜,,F,国语,蒋大为,,
512,潮湿的心,,F,国语,甘萍,,
513,窗外,,F,国语,李琛,,
514,春水流,,F,国语,黄格选,,
515,大风车,,F,国语,,,
516,大中国,,F,国语,高枫,,
517,稻草人,,F,国语,林志颖,,
518,得意洋洋,,F,国语,方芳,,
519,等你爱我,,F,国语,陈明,,
520,飞天,,F,国语,含笑,,
521,风雨彩虹铿锵玫瑰,,F,国语,田震,,
522,海阔天空,,F,国语,BEYOND,,
523,好日子,,F,国语,宋祖英,,
524,好想你,,F,国语,朱主爱,,
525,红星照我去战斗,,F,国语,李双江,,
526,花满天,,F,国语,刘航,,
527,回家的人,,F,国语,江涛,F→G#,
528,火火的歌谣,,F,国语,林依轮,,
529,霍元甲,,F,国语,周杰伦,,
530,江山无限,,F,国语,屠洪刚,,
531,看我72变,,F,国语,蔡依林,,
532,辣妹子,,F,国语,宋祖英,,
533,恋人未满,,F,国语,S.H.E,,
534,马铃儿响来玉鸟儿唱,,F,国语,胡松华&杜丽华,,
535,那些年,,F,国语,胡夏,,
536,你怎么说,,F,国语,邓丽君,,
537,如果也许,,F,国语,梁欢,,
538,三套车,,F,国语,蒋大为,,
539,珊瑚颂,,F,国语,宋祖英,,
540,生命的挑战,,F,国语,水木年华,,
541,天堂,,F,国语,腾格尔,,
542,晚秋,,F,国语,毛宁,,
543,我的祖国,,F,国语,宋祖英,,
544,我听过你的歌,,F,国语,王焱&何影,,
545,我悄悄地蒙上你的眼睛,,F,国语,王志文&江珊,,
546,无地自容,,F,国语,黑豹乐队,,
547,逍遥游,,F,国语,吴佳明,,《东游记》主题曲
548,烟花三月,,F,国语,吴涤清,,
549,一路顺风,,F,国语,吴奇隆,,
550,一路向北,,F,国语,周杰伦,,
551,因为爱情,,F,国语,陈奕迅&王菲,,
552,绽放爱,,F,国语,潘辰,,
553,长大后我就成了你,,F,国语,宋祖英,,
554,这个年纪,,F,国语,齐一,,
555,拯救,,F,国语,孙楠,,
556,祝你一路顺风,,F,国语,吴奇隆,,
557,最后的倾诉,,F,国语,韩磊,,
558,情人,,F,国语,刀郎,,
559,Angelina,,F,外语,Lou Bega,,
560,Be What You Wanna Be,,F,外语,,,
561,crossing field,,F,日语,,,《刀剑神域》OP
562,Bad Day,,D#,外语,Daniel Powter,,
563,Happiness,,F,外语,,,
564,Letter Song,,F,日语,,,
